manuscript claim,claim type,analysis used,table,figure,estimate,uncertainty,diagnostic support,sensitivity support,wording allowed,wording prohibited
"Annual maximum temperature increased",inferential,"Complete-year OLS trend with HAC covariance",Table 4,Figure 4,"0.192 °C per decade","95% CI 0.130 to 0.253; p<0.001","Residual lag-1 correlation 0.011; R2 0.405","Theil–Sen 0.201 °C per decade; Mann–Kendall p<0.001","Annual mean Tmax increased over 1972–2023","All temperatures increased uniformly"
"March–June maximum temperature increased",inferential,"Hot-season OLS trend with HAC covariance",Table 4,Figure 4,"0.165 °C per decade","95% CI 0.044 to 0.287; p=0.0076","Residual lag-1 correlation -0.042; R2 0.098","Excluding 2024: 0.151 °C per decade (95% CI 0.034 to 0.269)","March–June mean Tmax increased","Heatwave counts necessarily increased because Tmax increased"
"Minimum temperature increased faster than maximum temperature",unsupported,"Formal stacked slope interaction",Table 4,Figure 4,"Difference 0.016 °C per decade","95% CI -0.034 to 0.067; p=0.527","Clustered covariance by year","Annual day–night-range slope also includes zero","Numerical Tmin slope was slightly larger but the difference was not detectable","Tmin warmed significantly faster; worsening nighttime recovery was proven"
"Persistent heatwave counts increased",inferential,"NB2 annual count regression",Table 6,Figure 6,"IRR 1.029 per decade","95% CI 0.727 to 1.455; p=0.872","NB2 selected; randomized residuals and case-deletion diagnostics","Influential-year exclusions retain an interval including 1","No clear monotonic change was detected in primary persistent counts","Persistent heatwaves clearly or definitively increased"
"Heatwave conclusions depend on definition",inferential,"Six definition-specific count regressions",Table 3,Figure 5,"IRRs 1.018 to 1.320","Only compound definition nominal CI excluded 1; none survived BH adjustment","Same NB2 selection workflow across definitions","1991–2020 preserved the compound point-estimate direction","Estimated count trends were definition-dependent and secondary comparisons were exploratory","All definitions show the same increase"
"Compound day/night heatwaves showed an exploratory positive trend",inferential,"Compound 90th-percentile Tmax/Tmin NB2 trend",Table 3,Figure 5,"IRR 1.320 per decade","95% CI 1.043 to 1.672; nominal p=0.0209; BH q=0.126 across six definitions","Model converged under common count workflow","1991–2020 IRR 1.331 (95% CI 1.021 to 1.735)","The secondary compound-definition signal was nominally positive but did not survive multiplicity adjustment","The compound trend was confirmatory or nighttime heat caused health harm"
"Lower humidity preceded persistent heatwaves",inferential,"Year-clustered logistic GEE",Table 7,Figure 7,"OR 0.307 per 1 SD increase","95% CI 0.236 to 0.399; BH q<0.001","AR1 dependence 0.576; robust sandwich covariance","Onset OR 0.464; direction stable after influential-season exclusions","Lower prior-three-day humidity was associated with persistent days","Humidity drives or causes heatwaves"
"Lower precipitation preceded persistent heatwaves",inferential,"Year-clustered logistic GEE",Table 7,Figure 7,"OR 0.140 per 1 SD increase","95% CI 0.064 to 0.307; BH q<0.001","Training-safe lag construction and robust covariance","Onset OR 0.298; direction stable after influential-season exclusions","Lower prior-seven-day precipitation was associated with persistent days","Reduced rainfall caused each heatwave"
"Higher wind speed preceded persistent heatwaves",inferential,"Year-clustered logistic GEE",Table 7,Figure 7,"OR 1.337 per 1 SD increase","95% CI 1.107 to 1.614; BH q=0.003","Training-safe lag construction and robust covariance","Onset OR 1.526; direction stable after influential-season exclusions","Higher prior-three-day wind speed was associated with persistent days","Wind causes or amplifies heatwaves"
"Pressure was a robust antecedent",unsupported,"Primary and onset logistic GEE sensitivity",Tables 7 and 8,Figure 7,"Primary OR 0.656; onset OR 1.688","Primary CI 0.404 to 1.065; onset CI 1.107 to 2.574","Robust covariance","Direction reversed for onset","Pressure results were unstable and not a principal finding","Pressure was an established protective or risk factor"
"Antecedent variables improved future-season classification",predictive,"Chronological blocked GEE validation",Table 8,Figure 7,"Brier 0.033 vs 0.038; PR-AUC 0.473 vs 0.198","Pooled 3050 days and 125 positives; calibration intercept 1.512 and slope 1.136","Training-only scaling and thresholds; zero-positive seasons left undefined for AUC","25 held-out seasons from 2000 to 2024","The antecedent model improved pooled out-of-sample performance but underpredicted probabilities","The model is operationally calibrated for warning decisions"
"Urban heat island strengthened",unsupported,"No urban-rural comparison",None,None,"Not estimated","Not estimable","Single-location series only","No rural comparator or station provenance","The study cannot quantify urban amplification","The urban heat island strengthened"
"Tree-cover loss caused warming",causal,"Legacy ecological correlation only",None,None,"Raw and detrended associations inconsistent","No causal interval","Spatial mismatch and shared trend","Detrending changed interpretation","Tree-cover causation was not tested","Tree-cover loss caused Dhaka warming"
"Human vulnerability was measured",unsupported,"No health or vulnerability data",None,None,"Not estimated","Not estimable","No individual/population outcomes","Not applicable","The study measures meteorological heat hazard only","Human vulnerability or health burden increased"
"SARIMAX was the best model",predictive,"Common-target rolling-origin forecast comparison",Supplementary Table S2,Supplementary Figure S2,"SARIMAX RMSE 1.607 °C","Ten origins","Intervals were wide: mean 95% width 7.049 °C","Climatology-plus-trend RMSE 1.114 °C","SARIMAX underperformed simpler baselines","SARIMAX was best because it had a favorable in-sample criterion"
"2029 heatwave days can be estimated precisely",unsupported,"No validated daily event forecast",None,None,"Not estimable","Monthly forecast validation cannot reconstruct daily runs","Direct count scenarios had wide intervals and were removed from article","Reliable exact five-year event counts were not established","A precise number of heatwave days will occur in 2029"
